Clemson University,Acadia,Arches,Badlands,Big Bend,Black Canyon of the Gunnison,Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns *,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Everglades,Gateway Arch,Glacier,Grand Canyon *,Grand Teton,Great Basin,Great Sand Dunes,Great Smoky Mountains,Guadalupe Mountains,Hot Springs,Joshua Tree,Kings Canyon,Lassen Volcanic,Mammoth Cave,Mesa Verde *,Mount Rainier,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood *,Rocky Mountain,Saguaro,Sequoia,Shenandoah,Theodore Roosevelt,Voyageurs,Wind Cave,Yellowstone,Yosemite *,Zion
0,1649.430067,2421.547178,1967.04582,2017.103723,2260.045565,2650.186519,2451.534569,2560.146471,2024.393637,3348.191652,213.9868679,3497.153871,737.1918991,3073.997054,1053.33818,790.0101843,2998.577673,2657.413888,2600.242597,2832.764742,2061.781752,127.9882248,2070.54475,936.7501134,3034.046286,3220.543782,3447.935783,404.7846588,2324.548922,3508.711045,3504.639758,3657.888439,2456.264489,3456.580514,3654.643789,2101.129189,2577.584449,3237.078615,586.3275089,2199.072996,1745.332863,2031.911329,2600.927066,3292.505233,2728.43182
1649.430067,0,3471.603399,2728.573109,3510.360519,3329.333589,3731.036258,3522.192231,3620.825979,3412.09819,4494.151548,1596.43295,4270.900031,1143.199486,4166.602784,2403.828671,1935.231091,3490.910287,3803.380627,3375.371574,3833.172794,3191.984092,1619.582742,3461.268982,2388.36454,4226.08295,4275.010661,4330.015746,1702.364231,3456.044117,4104.680771,4011.745936,4197.266745,3667.521068,4498.043771,4485.736742,3081.826072,3885.417602,4304.370449,1064.45559,2738.504303,1942.367962,2810.110688,3326.429128,4298.295257,3813.375957
2421.547178,3471.603399,0,817.0791499,1197.235807,161.5606464,259.8961143,61.86130609,149.5023707,859.1183772,1024.004337,2633.265216,1156.706347,2400.429167,695.9804294,3066.381579,1683.792964,1179.136785,369.2531166,570.2321149,412.0224838,370.8719878,2328.235395,862.9444249,1546.396826,785.877086,818.1647463,1044.378732,2064.439125,191.6601755,1345.314941,1452.146609,1525.969145,401.0581015,1051.669478,1264.642637,392.5149213,718.3690454,842.372001,2706.178125,1047.321795,1727.512428,745.5437465,662.0493178,873.8157613,341.8923999
1967.04582,2728.573109,817.0791499,0,1610.448625,722.7753374,1066.914553,877.339215,954.2471138,1296.490268,1817.46368,2178.344265,1588.064186,1739.800168,1476.818613,2829.07714,1177.164021,1047.500285,1185.222499,668.3355613,1118.937517,715.0886585,1850.781026,1329.369346,1309.593413,1601.934063,1564.165768,1609.301903,1566.699889,888.4482203,1544.422304,1539.115469,1690.90752,1148.610501,1778.261093,1782.232785,450.9456119,1455.366723,1597.262605,2100.274514,365.5176653,910.8011748,81.53954957,646.4225477,1574.332216,1143.90687
2017.103723,3510.360519,1197.235807,1610.448625,0,1112.96955,1240.286439,1169.115572,1233.478934,343.199717,1620.086836,2187.831705,2268.130997,2370.427503,1487.167235,2248.575812,1590.805061,2356.067317,1124.147136,1741.522209,1482.315162,963.6180873,1981.838471,334.2934409,1126.707591,1301.476814,1653.500224,2076.658893,1820.621151,1005.608633,2526.899557,2646.648106,2708.409837,891.6834701,1854.098176,2303.321191,1255.055248,769.5103275,1646.507416,2512.225537,1967.009531,2313.708718,1589.199191,1819.965386,1780.177816,1275.510603
2260.045565,3329.333589,161.5606464,722.7753374,1112.96955,0,406.7465893,197.4048186,304.1972637,769.9344579,1165.264524,2471.720253,1305.559778,2248.750759,845.7286933,2911.910551,1524.757559,1243.22712,480.6397043,628.5551947,573.4846519,214.9764932,2167.02818,781.9346562,1386.839616,906.4622848,974.6453796,1203.314917,1903.99689,168.4983526,1468.291713,1560.733341,1647.225193,429.6670686,1209.300697,1421.868434,274.1636691,745.1624838,997.1379875,2549.208039,996.0321885,1624.435301,659.5694577,708.5881036,1034.399314,489.2177178
2650.186519,3731.036258,259.8961143,1066.914553,1240.286439,406.7465893,0,209.9130058,113.0644549,926.57464,764.1088425,2860.133822,1032.187535,2655.386592,439.0166998,3246.013764,1927.779892,1256.255229,167.609036,693.9071657,242.6985906,588.7591024,2561.297207,916.4327807,1753.817487,537.7610824,571.9298322,869.923008,2302.930202,329.6643612,1296.791825,1435.552212,1477.63438,351.2588742,807.8414628,1097.479161,652.2133255,609.8046965,592.1114316,2954.457436,1266.662475,1977.398597,992.2879662,793.3294354,646.0228783,82.622042
2451.534569,3522.192231,61.86130609,877.339215,1169.115572,197.4048186,209.9130058,0,108.614988,834.8385154,972.0756561,2662.519184,1155.617646,2445.57438,648.8509509,3077.963409,1721.332527,1222.346774,308.1498757,618.4654591,390.4105507,391.8525091,2360.255967,835.4011872,1566.93261,727.1600222,777.5907462,1029.253486,2099.084684,170.1365876,1363.32563,1477.54771,1544.553429,347.5977085,1012.598583,1252.390638,447.6310384,662.1548541,799.7658504,2746.484347,1109.028338,1787.389776,806.4176909,712.3864415,841.0134886,292.5284547
2560.146471,3620.825979,149.5023707,954.2471138,1233.478934,304.1972637,113.0644549,108.614988,0,906.8037347,875.8036083,2771.108724,1063.495989,2549.469399,546.4802189,3181.003753,1828.920353,1199.489967,252.650047,614.9123986,286.0962168,500.0162454,2468.822543,902.6393183,1674.121686,648.9057539,670.6167471,926.2597943,2207.352253,262.0752385,1293.421727,1418.579677,1474.931574,368.9011517,905.1060683,1150.905596,540.3735806,662.928675,693.8505891,2853.146305,1160.875436,1864.885176,880.0131,712.9926805,732.3994484,193.461147
2024.393637,3412.09819,859.1183772,1296.490268,343.199717,769.9344579,926.57464,834.8385154,906.8037347,0,1412.000501,2214.063705,1958.750125,2270.020937,1225.855586,2412.567159,1477.169082,2012.910166,830.7593832,1398.478592,1169.038345,624.5067202,1968.265078,49.17159857,1090.952273,1085.574644,1392.377339,1784.492784,1766.860438,668.1559315,2197.435064,2310.979325,2378.818088,590.6151831,1608.828545,2012.683937,918.9399296,571.3125085,1391.793614,2464.664815,1645.371422,2056.916077,1268.132416,1476.778592,1508.961602,971.7196495
3348.191652,4494.151548,1024.004337,1817.46368,1620.086836,1165.264524,764.1088425,972.0756561,875.8036083,1412.000501,0,3552.514854,1018.33726,3409.346736,342.5645279,3824.567397,2662.592471,1702.849085,701.9254167,1311.333893,717.0819643,1320.754618,3269.498933,1378.647827,2422.468421,326.4718898,319.4689102,742.618466,3024.35136,1050.312052,1439.261848,1638.156253,1587.271707,892.3292094,316.4877335,904.0818762,1416.132063,854.6413536,276.8068873,3693.498694,1968.309353,2722.277166,1739.614014,1403.102489,423.9196604,682.3767455
213.9868679,1596.43295,2633.265216,2178.344265,2187.831705,2471.720253,2860.133822,2662.519184,2771.108724,2214.063705,3552.514854,0,3711.140736,830.7510029,3282.05409,937.8689749,1002.032337,3206.628178,2864.354278,2813.740744,3044.749763,2272.158349,328.3972252,2259.355671,1133.825321,3236.563846,3429.802153,3661.232228,612.5093538,2533.65802,3720.968143,3714.83417,3869.240272,2660.21142,3665.748461,3868.336307,2314.881822,2772.557181,3445.766127,570.5651411,2404.002215,1919.382616,2243.951566,2813.723048,3503.313281,2937.952987
3497.153871,4270.900031,1156.706347,1588.064186,2268.130997,1305.559778,1032.187535,1155.617646,1063.495989,1958.750125,1018.33726,3711.140736,0,3327.541661,870.8063113,4215.189009,2718.754738,904.4265296,1146.282028,919.8607012,789.7732393,1520.483471,3391.101872,1948.116048,2677.589252,1150.351516,746.1426903,276.5079466,3112.451885,1323.340232,435.3945307,644.007062,569.6342149,1376.629555,721.7499506,240.5487203,1401.924449,1564.408583,779.8819983,3685.89594,1534.003132,2341.384377,1510.453705,951.14462,608.7740367,992.6312114
737.1918991,1143.199486,2400.429167,1739.800168,2370.427503,2248.750759,2655.386592,2445.57438,2549.469399,2270.020937,3409.346736,830.7510029,3327.541661,0,3094.400986,1766.654909,792.8734488,2668.560465,2709.423789,2408.098455,2786.850383,2090.846303,640.8743867,2319.178014,1255.82207,3124.970183,3217.261597,3339.871651,597.8083734,2360.103394,3244.675146,3196.538779,3369.175207,2554.673109,3448.119892,3520.521252,2022.944034,2755.2778,3242.632073,406.7062017,1857.904715,1202.915697,1818.379184,2380.094547,3258.406311,2737.928369
3073.997054,4166.602784,695.9804294,1476.818613,1487.167235,845.7286933,439.0166998,648.8509509,546.4802189,1225.855586,342.5645279,3282.05409,870.8063113,3094.400986,0,3618.04606,2363.329671,1414.054497,421.5976875,977.1136526,376.7787672,1019.745794,2988.805932,1201.412662,2163.051248,284.4754773,166.9457473,624.7470183,2734.742239,751.2937831,1247.460466,1429.553874,1413.873672,650.4269957,390.4001177,839.01171,1084.883208,731.0283082,168.3152242,3391.612281,1627.170305,2380.157314,1398.470124,1071.317102,296.609909,356.5128256
1053.33818,2403.828671,3066.381579,2829.07714,2248.575812,2911.910551,3246.013764,3077.963409,3181.003753,2412.567159,3824.567397,937.8689749,4215.189009,1766.654909,3618.04606,0,1713.605968,3875.64579,3201.036096,3387.982258,3467.072834,2697.179676,1175.193786,2446.649323,1549.365173,3498.131403,3780.860956,4107.045717,1403.508105,2921.042485,4313.095663,4346.577497,4478.415109,2967.62035,4007.515005,4330.133525,2833.085181,2977.036541,3786.298932,1484.814054,3119.670547,2776.396791,2878.759479,3412.285202,3882.235028,3312.644462
790.0101843,1935.231091,1683.792964,1177.164021,1590.805061,1524.757559,1927.779892,1721.332527,1828.920353,1477.169082,2662.592471,1002.032337,2718.754738,792.8734488,2363.329671,1713.605968,0,2212.907963,1960.933805,1814.029783,2088.506268,1344.440777,675.8967591,1526.329865,523.9118697,2365.074565,2498.817405,2685.394349,394.0109446,1614.727294,2718.944038,2715.460924,2867.912509,1787.522863,2733.920437,2885.471547,1336.213883,1969.966202,2519.890882,1031.036334,1423.075709,1117.726525,1241.97956,1811.956726,2556.913214,2009.017992
2998.577673,3490.910287,1179.136785,1047.500285,2356.067317,1243.22712,1256.255229,1222.346774,1199.489967,2012.910166,1702.849085,3206.628178,904.4265296,2668.560465,1414.054497,3875.64579,2212.907963,0,1423.319168,615.0481935,1091.366187,1407.780448,2878.256663,2024.955115,2344.291688,1674.452463,1383.389917,1097.731227,2594.511687,1365.931215,619.1305197,529.3880629,709.2005772,1564.019771,1487.587788,1144.973052,1146.58409,1861.056635,1426.044351,3059.115637,814.1119958,1551.547758,997.3438644,538.0429133,1296.970608,1279.89488
2657.413888,3803.380627,369.2531166,1185.222499,1124.147136,480.6397043,167.609036,308.1498757,252.650047,830.7593832,701.9254167,2864.354278,1146.282028,2709.423789,421.5976875,3201.036096,1960.933805,1423.319168,0,859.2634149,376.1219637,619.1696415,2574.783429,813.2836818,1742.302445,425.9089962,580.5161938,955.2574285,2325.349158,349.3266281,1440.060941,1587.347007,1619.616241,240.4872683,811.5363938,1183.100432,749.2635441,448.8473043,589.1591846,2991.716865,1410.205559,2094.736397,1114.567555,958.4199711,684.1682965,159.8448028
2600.242597,3375.371574,570.2321149,668.3355613,1741.522209,628.5551947,693.9071657,618.4654591,614.9123986,1398.478592,1311.333893,2813.740744,919.8607012,2408.098455,977.1136526,3387.982258,1814.029783,615.0481935,859.2634149,0,603.2456337,801.8752181,2489.580609,1409.986582,1838.819097,1188.533077,1012.315816,955.2016341,2207.854,753.1770179,925.3375181,972.9022605,1091.440073,965.4468445,1193.384423,1116.50359,568.5330605,1274.517986,1051.926858,2766.638753,678.8459856,1478.922625,590.6250177,99.60370109,983.1799818,738.957362
2832.764742,3833.172794,412.0224838,1118.937517,1482.315162,573.4846519,242.6985906,390.4105507,286.0962168,1169.038345,717.0819643,3044.749763,789.7732393,2786.850383,376.7787672,3467.072834,2088.506268,1091.366187,376.1219637,603.2456337,0,780.410319,2738.309827,1159.130493,1956.506191,593.5064256,445.2377871,640.1842937,2472.344296,547.3754543,1063.997481,1212.977265,1243.75582,591.4861494,665.1092166,865.2745993,764.0799918,822.0348863,478.7391571,3104.770383,1251.227393,2013.399373,1038.828746,699.3713713,471.7242359,216.2862235
2061.781752,3191.984092,370.8719878,715.0886585,963.6180873,214.9764932,588.7591024,391.8525091,500.0162454,624.5067202,1320.754618,2272.158349,1520.483471,2090.846303,1019.745794,2697.179676,1344.440777,1407.780448,619.1696415,801.8752181,780.410319,0,1972.549738,647.1962452,1176.163443,1035.518297,1160.318494,1415.244142,1715.377848,270.6263058,1673.763027,1757.19995,1851.336514,483.4834428,1396.366814,1635.215862,296.476634,759.4280573,1178.907223,2374.307416,1040.21631,1573.189265,670.7972485,869.9156685,1231.334442,668.1182533
127.9882248,1619.582742,2328.235395,1850.781026,1981.838471,2167.02818,2561.297207,2360.255967,2468.822543,1968.265078,3269.498933,328.3972252,3391.101872,640.8743867,2988.805932,1175.193786,675.8967591,2878.256663,2574.783429,2489.580609,2738.309827,1972.549738,0,2015.322844,877.3448464,2958.536515,3132.749703,3348.243885,284.2616706,2237.920714,3394.109817,3386.6337,3541.562273,2379.180181,3368.830107,3552.599651,1999.379796,2513.428959,3150.483506,558.4616471,2076.344582,1617.682554,1917.041268,2487.769433,3201.04635,2640.447144
2070.54475,3461.268982,862.9444249,1329.369346,334.2934409,781.9346562,916.4327807,835.4011872,902.6393183,49.17159857,1378.647827,2259.355671,1948.116048,2319.178014,1201.412662,2446.649323,1526.329865,2024.955115,813.2836818,1409.986582,1159.130493,647.1962452,2015.322844,0,1137.978579,1052.531555,1368.237747,1768.386097,1815.182978,671.3249196,2195.455693,2312.901851,2376.944598,574.5362608,1581.907383,1996.342677,943.118863,532.7013829,1366.331,2513.063637,1675.317152,2099.221566,1298.798809,1490.288813,1487.239369,958.0073043
936.7501134,2388.36454,1546.396826,1309.593413,1126.707591,1386.839616,1753.817487,1566.93261,1674.121686,1090.952273,2422.468421,1133.825321,2677.589252,1255.82207,2163.051248,1549.365173,523.9118697,2344.291688,1742.302445,1838.819097,1956.506191,1176.163443,877.3448464,1137.978579,0,2104.3111,2316.175781,2590.153524,693.9934257,1424.220466,2763.778747,2801.065157,2929.747088,1530.608536,2550.868265,2807.723401,1285.14558,1640.836457,2329.131197,1388.273987,1635.682006,1553.854712,1349.486384,1865.309545,2399.816037,1828.197757
3034.046286,4226.08295,785.877086,1601.934063,1301.476814,906.4622848,537.7610824,727.1600222,648.9057539,1085.574644,326.4718898,3236.563846,1150.351516,3124.970183,284.4754773,3498.131403,2365.074565,1674.452463,425.9089962,1188.533077,593.5064256,1035.518297,2958.536515,1052.531555,2104.3111,0,411.8075563,894.7029026,2718.928933,770.1177545,1531.934485,1713.359055,1697.942365,580.063299,564.5501368,1097.632156,1173.239457,532.5726974,387.2772654,3395.623281,1800.600442,2512.724685,1528.583092,1286.823304,553.7836834,467.3242339
3220.543782,4275.010661,818.1647463,1564.165768,1653.500224,974.6453796,571.9298322,777.5907462,670.6167471,1392.377339,319.4689102,3429.802153,746.1426903,3217.261597,166.9457473,3780.860956,2498.817405,1383.389917,580.5161938,1012.315816,445.2377871,1160.318494,3132.749703,1368.237747,2316.175781,411.8075563,0,483.8617024,2874.854013,896.1458241,1147.203148,1339.407443,1305.293761,813.997307,236.0890252,686.8368843,1197.03642,894.4465904,42.67426575,3523.762795,1681.830577,2455.848232,1483.991541,1100.230709,141.9802214,492.3081722
3447.935783,4330.015746,1044.378732,1609.301903,2076.658893,1203.314917,869.923008,1029.253486,926.2597943,1784.492784,742.618466,3661.232228,276.5079466,3339.871651,624.7470183,4107.045717,2685.394349,1097.731227,955.2574285,955.2016341,640.1842937,1415.244142,3348.243885,1768.386097,2590.153524,894.7029026,483.8617024,0,3075.652022,1187.355532,706.8973187,912.6570192,846.1414131,1194.178049,446.1782149,228.2851314,1349.649857,1344.173569,513.8547119,3681.040087,1618.250406,2427.172994,1528.479576,1011.890016,342.5945053,814.4215271
404.7846588,1702.364231,2064.439125,1566.699889,1820.621151,1903.99689,2302.930202,2099.084684,2207.352253,1766.860438,3024.35136,612.5093538,3112.451885,597.8083734,2734.742239,1403.508105,394.0109446,2594.511687,2325.349158,2207.854,2472.344296,1715.377848,284.2616706,1815.182978,693.9934257,2718.928933,2874.854013,3075.652022,0,1983.601347,3110.341943,3102.382378,3257.393097,2138.910995,3110.666753,3277.500024,1726.002657,2294.039772,2894.195245,698.0706776,1794.296428,1372.905798,1633.347143,2204.662907,2938.241756,2383.160501
2324.548922,3456.044117,191.6601755,888.4482203,1005.608633,168.4983526,329.6643612,170.1365876,262.0752385,668.1559315,1050.312052,2533.65802,1323.340232,2360.103394,751.2937831,2921.042485,1614.727294,1365.931215,349.3266281,753.1770179,547.3754543,270.6263058,2237.920714,671.3249196,1424.220466,770.1177545,896.1458241,1187.355532,1983.601347,0,1532.230408,1642.823864,1713.300167,261.3379681,1132.103111,1412.616566,437.7691891,577.0290018,912.6944302,2644.844702,1164.015619,1785.009828,826.9564761,841.1585997,975.5992952,404.7937622
3508.711045,4104.680771,1345.314941,1544.422304,2526.899557,1468.291713,1296.791825,1363.32563,1293.421727,2197.435064,1439.261848,3720.968143,435.3945307,3244.675146,1247.460466,4313.095663,2718.944038,619.1305197,1440.060941,925.3375181,1063.997481,1673.763027,3394.109817,2195.455693,2763.778747,1531.934485,1147.203148,706.8973187,3110.341943,1532.230408,0,209.782223,181.5109192,1647.298442,1152.804477,642.4032159,1484.810994,1883.062239,1184.982799,3624.979902,1391.049699,2162.71848,1477.075348,909.8549704,1018.831975,1280.220684
3504.639758,4011.745936,1452.146609,1539.115469,2646.648106,1560.733341,1435.552212,1477.54771,1418.579677,2310.979325,1638.156253,3714.83417,644.007062,3196.538779,1429.553874,4346.577497,2715.460924,529.3880629,1587.347007,972.9022605,1212.977265,1757.19995,3386.6337,2312.901851,2801.065157,1713.359055,1339.407443,912.6570192,3102.382378,1642.823864,209.782223,0,188.8480685,1781.709131,1357.46437,851.3309246,1541.417528,2034.932116,1378.41513,3585.184511,1339.535041,2076.810382,1478.862932,936.1442074,1215.411908,1428.262876
3657.888439,4197.266745,1525.969145,1690.90752,2708.409837,1647.225193,1477.63438,1544.553429,1474.931574,2378.818088,1587.271707,3869.240272,569.6342149,3369.175207,1413.873672,4478.415109,2867.912509,709.2005772,1619.616241,1091.440073,1243.75582,1851.336514,3541.562273,2376.944598,2929.747088,1697.942365,1305.293761,846.1414131,3257.393097,1713.300167,181.5109192,188.8480685,0,1828.339918,1290.65511,742.2578359,1655.558632,2061.259349,1341.517135,3754.810777,1511.297872,2260.139938,1626.788527,1067.948564,1172.443127,1459.825352
2456.264489,3667.521068,401.0581015,1148.610501,891.6834701,429.6670686,351.2588742,347.5977085,368.9011517,590.6151831,892.3292094,2660.21142,1376.629555,2554.673109,650.4269957,2967.62035,1787.522863,1564.019771,240.4872683,965.4468445,591.4861494,483.4834428,2379.180181,574.5362608,1530.608536,580.063299,813.997307,1194.178049,2138.910995,261.3379681,1647.298442,1781.709131,1828.339918,0,1040.156059,1422.281961,697.6649614,319.8303675,818.6836177,2817.234676,1423.551049,2039.987624,1088.091622,1059.914985,923.0827822,384.3362476
3456.580514,4498.043771,1051.669478,1778.261093,1854.098176,1209.300697,807.8414628,1012.598583,905.1060683,1608.828545,316.4877335,3665.748461,721.7499506,3448.119892,390.4001177,4007.515005,2733.920437,1487.587788,811.5363938,1193.384423,665.1092166,1396.366814,3368.830107,1581.907383,2550.868265,564.5501368,236.0890252,446.1782149,3110.666753,1132.103111,1152.804477,1357.46437,1290.65511,1040.156059,0,588.9975333,1425.83808,1086.184508,222.377508,3757.838336,1870.999256,2658.519404,1697.316795,1274.064528,210.2093988,728.3956356
3654.643789,4485.736742,1264.642637,1782.232785,2303.321191,1421.868434,1097.479161,1252.390638,1150.905596,2012.683937,904.0818762,3868.336307,240.5487203,3520.521252,839.01171,4330.133525,2885.471547,1144.973052,1183.100432,1116.50359,865.2745993,1635.215862,3552.599651,1996.342677,2807.723401,1097.632156,686.8368843,228.2851314,3277.500024,1412.616566,642.4032159,851.3309246,742.2578359,1422.281961,588.9975333,0,1553.567286,1565.442589,710.659548,3870.113493,1754.627681,2564.272231,1702.720784,1159.442969,545.7034322,1042.681482
2101.129189,3081.826072,392.5149213,450.9456119,1255.055248,274.1636691,652.2133255,447.6310384,540.3735806,918.9399296,1416.132063,2314.881822,1401.924449,2022.944034,1084.883208,2833.085181,1336.213883,1146.58409,749.2635441,568.5330605,764.0799918,296.476634,1999.379796,943.118863,1285.14558,1173.239457,1197.03642,1349.649857,1726.002657,437.7691891,1484.810994,1541.417528,1655.558632,697.6649614,1425.83808,1553.567286,0,1006.054509,1224.511409,2343.197586,749.816381,1350.315676,392.7250367,617.1859838,1235.788396,733.7569481
2577.584449,3885.417602,718.3690454,1455.366723,769.5103275,745.1624838,609.8046965,662.1548541,662.928675,571.3125085,854.6413536,2772.557181,1564.408583,2755.2778,731.0283082,2977.036541,1969.966202,1861.056635,448.8473043,1274.517986,822.0348863,759.4280573,2513.428959,532.7013829,1640.836457,532.5726974,894.4465904,1344.173569,2294.039772,577.0290018,1883.062239,2034.932116,2061.259349,319.8303675,1086.184508,1565.442589,1006.054509,0,883.5286572,2986.513672,1741.043505,2332.353593,1398.619534,1370.918546,1027.525032,606.8391997
3237.078615,4304.370449,842.372001,1597.262605,1646.507416,997.1379875,592.1114316,799.7658504,693.8505891,1391.793614,276.8068873,3445.766127,779.8819983,3242.632073,168.3152242,3786.298932,2519.890882,1426.044351,589.1591846,1051.926858,478.7391571,1178.907223,3150.483506,1366.331,2329.131197,387.2772654,42.67426575,513.8547119,2894.195245,912.6944302,1184.982799,1378.41513,1341.517135,818.6836177,222.377508,710.659548,1224.511409,883.5286572,0,3546.183535,1719.879188,2491.290603,1517.361525,1140.490124,171.6073244,511.1358937
586.3275089,1064.45559,2706.178125,2100.274514,2512.225537,2549.208039,2954.457436,2746.484347,2853.146305,2464.664815,3693.498694,570.5651411,3685.89594,406.7062017,3391.612281,1484.814054,1031.036334,3059.115637,2991.716865,2766.638753,3104.770383,2374.307416,558.4616471,2513.063637,1388.273987,3395.623281,3523.762795,3681.040087,698.0706776,2644.844702,3624.979902,3585.184511,3754.810777,2817.234676,3757.838336,3870.113493,2343.197586,2986.513672,3546.183535,0,2245.726626,1609.595745,2176.305375,2745.781277,3575.731971,3036.217809
2199.072996,2738.504303,1047.321795,365.5176653,1967.009531,996.0321885,1266.662475,1109.028338,1160.875436,1645.371422,1968.309353,2404.002215,1534.003132,1857.904715,1627.170305,3119.670547,1423.075709,814.1119958,1410.205559,678.8459856,1251.227393,1040.21631,2076.344582,1675.317152,1635.682006,1800.600442,1681.830577,1618.250406,1794.296428,1164.015619,1391.049699,1339.535041,1511.297872,1423.551049,1870.999256,1754.627681,749.816381,1741.043505,1719.879188,2245.726626,0,810.1563654,377.8733075,607.9219034,1660.925007,1333.338631
1745.332863,1942.367962,1727.512428,910.8011748,2313.708718,1624.435301,1977.398597,1787.389776,1864.885176,2056.916077,2722.277166,1919.382616,2341.384377,1202.915697,2380.157314,2776.396791,1117.726525,1551.547758,2094.736397,1478.922625,2013.399373,1573.189265,1617.682554,2099.221566,1553.854712,2512.724685,2455.848232,2427.172994,1372.905798,1785.009828,2162.71848,2076.810382,2260.139938,2039.987624,2658.519404,2564.272231,1350.315676,2332.353593,2491.290603,1609.595745,810.1563654,0,985.3424951,1415.39232,2449.967948,2053.691349
2031.911329,2810.110688,745.5437465,81.53954957,1589.199191,659.5694577,992.2879662,806.4176909,880.0131,1268.132416,1739.614014,2243.951566,1510.453705,1818.379184,1398.470124,2878.759479,1241.97956,997.3438644,1114.567555,590.6250177,1038.828746,670.7972485,1917.041268,1298.798809,1349.486384,1528.583092,1483.991541,1528.479576,1633.347143,826.9564761,1477.075348,1478.862932,1626.788527,1088.091622,1697.316795,1702.720784,392.7250367,1398.619534,1517.361525,2176.305375,377.8733075,985.3424951,0,573.5776864,1493.120095,1068.349099
2600.927066,3326.429128,662.0493178,646.4225477,1819.965386,708.5881036,793.3294354,712.3864415,712.9926805,1476.778592,1403.102489,2813.723048,951.14462,2380.094547,1071.317102,3412.285202,1811.956726,538.0429133,958.4199711,99.60370109,699.3713713,869.9156685,2487.769433,1490.288813,1865.309545,1286.823304,1100.230709,1011.890016,2204.662907,841.1585997,909.8549704,936.1442074,1067.948564,1059.914985,1274.064528,1159.442969,617.1859838,1370.918546,1140.490124,2745.781277,607.9219034,1415.39232,573.5776864,0,1064.070653,838.5148878
3292.505233,4298.295257,873.8157613,1574.332216,1780.177816,1034.399314,646.0228783,841.0134886,732.3994484,1508.961602,423.9196604,3503.313281,608.7740367,3258.406311,296.609909,3882.235028,2556.913214,1296.970608,684.1682965,983.1799818,471.7242359,1231.334442,3201.04635,1487.239369,2399.816037,553.7836834,141.9802214,342.5945053,2938.241756,975.5992952,1018.831975,1215.411908,1172.443127,923.0827822,210.2093988,545.7034322,1235.788396,1027.525032,171.6073244,3575.731971,1660.925007,2449.967948,1493.120095,1064.070653,0,572.7604619
2728.43182,3813.375957,341.8923999,1143.90687,1275.510603,489.2177178,82.622042,292.5284547,193.461147,971.7196495,682.3767455,2937.952987,992.6312114,2737.928369,356.5128256,3312.644462,2009.017992,1279.89488,159.8448028,738.957362,216.2862235,668.1182533,2640.447144,958.0073043,1828.197757,467.3242339,492.3081722,814.4215271,2383.160501,404.7937622,1280.220684,1428.262876,1459.825352,384.3362476,728.3956356,1042.681482,733.7569481,606.8391997,511.1358937,3036.217809,1333.338631,2053.691349,1068.349099,838.5148878,572.7604619,0